Unnamed: 0,counts_S93,counts_S94,counts_S107,counts_S108
ENSG00000251799.1,0,0,0,0
ENSG00000084093.16,1681,1541,1679,2156
ENSG00000269949.1,1,4,13,6
ENSG00000084092.6,303,298,444,579
ENSG00000047315.15,1934,1787,2094,2869
ENSG00000251703.1,5,0,4,7
ENSG00000163453.11,0,0,0,0
ENSG00000250384.1,0,0,0,0
ENSG00000245067.6,0,0,0,0
ENSG00000250192.1,0,0,0,0
ENSG00000243920.2,0,0,0,0
ENSG00000248505.1,0,0,0,0
ENSG00000251459.1,0,0,0,0
ENSG00000251049.2,0,0,0,0
ENSG00000250333.1,0,0,0,0
ENSG00000249831.2,0,0,0,0
ENSG00000248660.1,0,0,0,0
ENSG00000249105.2,0,0,0,0
ENSG00000250340.1,0,0,0,0
ENSG00000250078.1,0,0,0,0
ENSG00000251339.5,0,0,0,0
ENSG00000251266.1,0,0,0,0
ENSG00000249382.2,0,0,0,0
ENSG00000250375.2,0,0,0,0
ENSG00000249111.1,0,0,0,0
ENSG00000199780.1,0,0,0,0
ENSG00000249392.1,0,0,0,0
ENSG00000249892.1,0,0,0,0
ENSG00000201676.1,0,0,0,0
ENSG00000201775.1,0,0,0,0
ENSG00000283043.1,0,0,0,0
ENSG00000249066.1,0,0,0,0
ENSG00000248237.2,0,0,0,0
ENSG00000265829.1,0,0,0,0
ENSG00000240152.2,0,0,0,0
ENSG00000150471.16,33,27,57,104
ENSG00000241261.1,1,0,0,1
ENSG00000205682.2,0,0,0,0
ENSG00000226439.3,0,0,1,0
ENSG00000202169.1,0,0,0,0
ENSG00000248692.5,0,0,0,0
ENSG00000225405.3,1,1,1,1
ENSG00000241344.1,0,0,0,0
ENSG00000250249.2,0,0,0,0
ENSG00000248847.2,0,0,0,0
ENSG00000248336.1,0,0,0,0
ENSG00000180673.9,0,2,0,0
ENSG00000251055.2,0,0,0,0
ENSG00000231442.3,0,0,0,0
ENSG00000250775.1,0,0,0,0
ENSG00000205678.7,0,0,0,0
ENSG00000252104.1,0,0,0,0
ENSG00000250768.1,0,0,0,0
ENSG00000251430.1,0,0,0,0
ENSG00000251385.2,0,0,0,0
ENSG00000249893.1,0,0,0,0
ENSG00000250169.1,0,0,0,0
ENSG00000248259.1,0,0,0,0
ENSG00000249045.1,0,0,0,0
ENSG00000248328.1,0,0,0,0
ENSG00000244669.1,0,0,0,0
ENSG00000250125.2,0,0,0,0
ENSG00000248447.2,0,0,0,0
ENSG00000248998.2,0,0,0,0
ENSG00000249351.2,0,0,0,0
ENSG00000285711.1,0,0,0,0
ENSG00000145242.13,0,0,0,0
ENSG00000243199.1,10,9,17,19
ENSG00000250846.6,0,0,0,0
ENSG00000248479.1,0,0,0,0
ENSG00000222765.1,0,0,0,0
ENSG00000251527.1,0,0,0,0
ENSG00000249413.2,0,0,0,0
ENSG00000272304.1,0,0,0,0
ENSG00000236562.4,0,0,0,0
ENSG00000221563.1,0,0,0,0
ENSG00000244099.1,0,0,0,0
ENSG00000252890.1,0,0,0,0
ENSG00000250075.5,3,2,2,9
ENSG00000206629.1,1,0,0,1
ENSG00000274759.1,0,0,0,0
ENSG00000250030.2,0,0,0,0
ENSG00000145241.10,324,349,428,431
ENSG00000035720.7,0,0,0,0
ENSG00000279464.1,9,8,19,9
ENSG00000033178.12,1659,1466,1637,1916
ENSG00000270257.1,0,0,0,0
ENSG00000248049.6,64,58,80,99
ENSG00000250656.2,0,0,0,0
ENSG00000270228.1,0,0,0,1
ENSG00000270292.1,0,0,0,0
ENSG00000109163.6,0,0,0,0
ENSG00000202374.1,1,0,1,4
ENSG00000232398.1,0,0,0,0
ENSG00000153802.11,0,0,0,0
ENSG00000187054.15,0,0,0,0
ENSG00000229009.7,0,0,0,0
ENSG00000207428.1,0,0,0,0
ENSG00000227725.3,0,0,0,1
ENSG00000283131.1,0,0,0,0
ENSG00000198092.5,0,0,0,0
ENSG00000215127.6,0,0,0,0
ENSG00000250426.2,0,0,0,0
ENSG00000250026.5,0,0,0,0
ENSG00000185873.7,0,0,0,0
ENSG00000250642.3,0,0,0,0
ENSG00000248639.2,0,0,0,0
ENSG00000249531.2,0,0,0,0
ENSG00000248122.1,0,0,0,0
ENSG00000083896.12,925,975,1019,1308
ENSG00000162840.4,0,0,0,0
ENSG00000087128.9,0,0,1,0
ENSG00000250566.1,0,1,7,0
ENSG00000197888.2,4437,5076,2456,2676
ENSG00000249472.1,0,0,0,0
ENSG00000251101.1,0,0,1,2
ENSG00000251074.1,2,1,0,1
ENSG00000196620.9,639,779,459,520
ENSG00000248635.1,31,23,15,27
ENSG00000250376.1,5,4,8,4
ENSG00000251236.1,0,0,0,0
ENSG00000109181.11,0,0,0,0
ENSG00000251424.1,0,0,0,0
ENSG00000249235.1,0,0,0,0
ENSG00000251529.1,0,2,0,0
ENSG00000248547.2,0,0,0,0
ENSG00000248613.1,0,0,0,0
ENSG00000272626.1,0,0,0,1
ENSG00000249985.1,0,0,0,0
ENSG00000198277.6,0,0,0,1
ENSG00000135220.10,99,124,89,104
ENSG00000251498.1,0,0,0,0
ENSG00000249735.1,0,0,0,0
ENSG00000250277.2,0,0,0,0
ENSG00000251685.3,0,0,0,0
ENSG00000249890.1,0,0,0,0
ENSG00000250919.1,0,0,0,0
ENSG00000171234.13,16,20,20,26
ENSG00000248763.2,0,0,0,0
ENSG00000251284.2,0,0,0,0
ENSG00000250100.2,0,0,0,0
ENSG00000251427.1,0,0,0,0
ENSG00000196472.4,0,0,0,0
ENSG00000250696.5,0,0,0,0
ENSG00000213759.9,0,0,0,0
ENSG00000268803.1,0,0,0,0
ENSG00000249763.1,0,0,0,0
ENSG00000135226.17,0,0,0,0
ENSG00000251691.2,0,0,0,0
ENSG00000250612.2,0,0,0,0
ENSG00000268209.1,0,0,0,0
ENSG00000215110.7,0,0,0,0
ENSG00000248824.2,0,0,0,0
ENSG00000249956.4,0,0,0,0
ENSG00000250828.2,0,0,0,0
ENSG00000249686.1,0,0,0,0
ENSG00000156096.13,0,0,0,0
ENSG00000248886.2,0,0,0,0
ENSG00000251177.2,0,0,0,0
ENSG00000173610.12,0,0,0,0
ENSG00000271271.5,0,0,0,0
ENSG00000173597.8,445,474,199,145
ENSG00000236959.1,0,0,0,0
ENSG00000284695.1,0,0,0,0
ENSG00000109193.11,3,2,0,0
ENSG00000251489.2,0,0,0,0
ENSG00000126545.13,0,0,0,0
ENSG00000135222.6,0,0,0,0
ENSG00000126549.9,0,0,0,0
ENSG00000205649.7,0,0,0,0
ENSG00000126550.8,0,0,0,0
ENSG00000234124.6,0,0,0,0
ENSG00000187533.13,0,0,0,0
ENSG00000109205.16,95,107,73,103
ENSG00000181617.5,0,0,0,0
ENSG00000171209.3,0,0,0,0
ENSG00000145309.5,0,0,0,1
ENSG00000109208.4,0,0,0,0
ENSG00000171201.10,0,0,0,0
ENSG00000171199.10,0,0,0,0
ENSG00000171195.10,15,14,18,21
ENSG00000187689.9,0,0,0,0
ENSG00000178522.14,0,0,0,0
ENSG00000132464.11,0,0,0,0
ENSG00000132465.10,0,0,0,0
ENSG00000132467.3,376,364,429,684
ENSG00000207448.1,0,0,0,0
ENSG00000207058.1,0,0,0,0
ENSG00000272986.1,2,0,0,2
ENSG00000018189.12,171,160,190,250
ENSG00000132463.13,1642,1598,1931,2506
ENSG00000283313.1,0,0,0,0
ENSG00000207007.1,0,0,2,0
ENSG00000173542.8,354,275,400,514
ENSG00000156136.9,118,90,138,176
ENSG00000080493.16,1508,1930,844,883
ENSG00000249170.1,1,0,0,0
ENSG00000270098.1,0,0,0,0
ENSG00000145321.12,0,0,0,0
ENSG00000222236.1,0,0,0,0
ENSG00000248567.1,0,0,0,0
ENSG00000056291.17,0,0,0,0
ENSG00000156140.9,0,0,0,0
ENSG00000250877.1,0,0,0,0
ENSG00000270665.1,0,0,0,0
ENSG00000252955.1,0,0,0,0
ENSG00000210839.1,0,0,0,0
ENSG00000163626.16,166,154,251,278
ENSG00000132466.18,3461,3597,3825,4825
ENSG00000248641.1,0,0,1,0
ENSG00000250220.1,4,5,9,11
ENSG00000221639.1,4,7,2,4
ENSG00000249976.2,0,0,0,0
ENSG00000163631.16,0,2,1,3
ENSG00000081051.7,58,101,14,13
ENSG00000079557.4,0,0,0,0
ENSG00000250436.1,0,1,1,2
ENSG00000249970.1,0,0,0,0
ENSG00000169435.13,1187,1314,1082,1123
ENSG00000228277.1,0,0,0,0
ENSG00000169429.10,1091,854,1044,1014
ENSG00000249051.2,0,1,0,0
ENSG00000124875.9,68,64,126,117
ENSG00000250550.3,0,0,0,0
ENSG00000109272.3,0,0,0,0
ENSG00000163739.4,801,750,745,972
ENSG00000249920.2,0,0,0,1
ENSG00000250339.2,0,0,0,5
ENSG00000163737.3,90,93,101,113
ENSG00000163736.3,45,38,59,76
ENSG00000163735.6,0,2,1,2
ENSG00000244194.3,0,0,0,0
ENSG00000163734.4,393,353,402,444
ENSG00000248848.1,0,0,2,0
ENSG00000251017.1,0,0,0,0
ENSG00000081041.8,206,201,196,183
ENSG00000163738.18,104,85,103,152
ENSG00000269559.2,0,1,3,4
ENSG00000182585.9,0,2,0,0
ENSG00000124882.3,300,220,244,208
ENSG00000250532.1,0,0,0,0
ENSG00000109321.10,1514,1582,1277,1274
ENSG00000249942.1,0,1,3,1
ENSG00000174808.11,63,74,75,57
ENSG00000250356.1,0,0,0,0
ENSG00000169116.11,1667,1593,1549,1776
ENSG00000249717.1,1,0,0,0
ENSG00000248165.1,2,0,0,0
ENSG00000260265.1,16,15,17,34
ENSG00000250315.2,0,0,0,0
ENSG00000250560.2,0,0,0,0
ENSG00000251185.1,0,2,0,0
ENSG00000251454.1,0,0,0,0
ENSG00000251383.1,0,0,0,0
ENSG00000248646.1,0,0,0,0
ENSG00000250735.5,0,0,0,0
ENSG00000163743.13,155,170,188,231
ENSG00000174796.12,207,194,214,284
ENSG00000174792.10,0,0,3,0
ENSG00000138769.10,7,3,14,19
ENSG00000138757.14,3122,3154,3233,4215
ENSG00000201644.2,0,0,0,0
ENSG00000138768.14,1748,1620,1976,2237
ENSG00000222644.1,0,0,0,0
ENSG00000229717.2,1,1,0,0
ENSG00000156194.17,1,2,2,1
ENSG00000138744.14,870,1142,767,737
ENSG00000198301.11,494,494,564,687
ENSG00000245928.2,0,0,0,0
ENSG00000138755.5,0,0,0,0
ENSG00000156219.16,1,3,0,11
ENSG00000169245.5,0,4,6,9
ENSG00000169248.12,60,44,53,58
ENSG00000225846.4,0,0,0,0
ENSG00000138750.14,283,259,318,361
ENSG00000138760.9,5812,6284,5510,6619
ENSG00000189157.13,86,85,85,105
ENSG00000272414.5,0,1,1,0
ENSG00000118804.8,40,71,42,45
ENSG00000163749.17,2,3,5,3
ENSG00000249858.2,0,2,0,3
ENSG00000212368.1,0,0,0,0
ENSG00000240426.1,0,0,0,0
ENSG00000199857.1,0,0,0,0
ENSG00000138771.15,13547,14217,12649,14541
ENSG00000249278.1,0,0,0,0
ENSG00000207307.1,0,0,0,0
ENSG00000263445.1,0,0,0,0
ENSG00000283682.1,0,0,0,0
ENSG00000233860.1,0,1,0,0
ENSG00000224218.1,0,0,0,0
ENSG00000270244.1,0,0,1,2
ENSG00000242727.2,0,0,0,0
ENSG00000186212.3,297,417,287,409
ENSG00000138758.11,1338,1302,1559,1979
ENSG00000234036.4,0,0,0,0
ENSG00000118816.9,5744,5441,5415,7002
ENSG00000214062.5,0,0,0,0
ENSG00000271676.1,0,0,0,0
ENSG00000201641.1,0,0,0,0
ENSG00000138764.14,3247,3783,2808,2764
ENSG00000270669.1,0,0,0,0
ENSG00000250006.2,0,0,0,0
ENSG00000248831.2,0,0,0,0
ENSG00000249036.1,0,0,0,0
ENSG00000156234.7,1,1,0,0
ENSG00000221711.1,0,0,0,0
ENSG00000138767.13,511,675,566,809
ENSG00000169288.17,156,138,157,231
ENSG00000250214.1,0,0,0,0
ENSG00000248926.1,0,0,0,0
ENSG00000248956.1,0,0,1,0
ENSG00000248640.1,0,0,0,0
ENSG00000248128.1,0,0,0,0
ENSG00000249072.1,0,0,0,0
ENSG00000138759.18,1726,1383,2027,2561
ENSG00000249565.2,5,4,2,5
ENSG00000248117.1,0,2,1,0
ENSG00000138772.12,3857,3808,3434,3902
ENSG00000200998.1,0,0,0,0
ENSG00000251442.5,2,2,2,2
ENSG00000251019.1,0,0,0,0
ENSG00000239793.1,0,0,0,0
ENSG00000260278.1,1,0,1,3
ENSG00000138756.17,1452,1574,1443,1476
ENSG00000266270.1,5,2,4,3
ENSG00000163291.14,167,128,175,226
ENSG00000242175.3,8,8,7,2
ENSG00000249307.5,10,4,6,7
ENSG00000156269.4,0,0,0,0
ENSG00000196475.5,0,0,0,0
ENSG00000250334.5,0,0,0,0
ENSG00000249646.2,0,0,0,2
ENSG00000251399.1,0,0,0,0
ENSG00000248408.1,0,0,0,0
ENSG00000251321.1,0,0,0,0
ENSG00000212620.1,0,0,0,0
ENSG00000163297.16,2106,2156,1865,2235
ENSG00000236530.2,0,0,0,0
ENSG00000244002.1,0,0,0,0
ENSG00000248719.1,0,0,0,0
ENSG00000152784.15,41,30,36,34
ENSG00000138675.16,0,0,0,0
ENSG00000197826.11,0,0,0,0
ENSG00000232327.4,0,0,0,0
ENSG00000152785.6,81,115,104,65
ENSG00000138669.9,55,54,48,42
ENSG00000251059.5,1,1,2,0
ENSG00000207065.1,0,0,0,0
ENSG00000138670.17,216,271,232,236
ENSG00000248282.1,11,34,21,7
ENSG00000248448.2,0,6,3,4
ENSG00000252762.1,0,0,0,0
ENSG00000248543.2,24,29,42,26
ENSG00000250826.2,0,0,0,0
ENSG00000202485.1,0,0,0,0
ENSG00000234568.3,0,0,0,0
ENSG00000284516.1,0,0,0,0
ENSG00000273156.1,2,0,1,1
ENSG00000138668.18,893,817,1193,1419
ENSG00000272677.1,1,1,3,4
ENSG00000250325.1,0,0,0,1
ENSG00000202440.1,0,0,0,0
ENSG00000152795.17,1332,1170,1615,2134
ENSG00000145293.15,323,249,347,456
ENSG00000249242.7,28,25,35,41
ENSG00000214988.4,1,1,1,1
ENSG00000227304.3,3,2,2,5
ENSG00000249960.2,0,0,0,0
ENSG00000248113.2,0,0,0,0
ENSG00000231782.6,0,0,1,0
ENSG00000145284.11,332,350,511,812
ENSG00000270480.1,0,0,0,0
ENSG00000207746.1,1,2,1,0
ENSG00000270842.1,0,0,0,0
ENSG00000138674.16,2656,2705,2751,3113
ENSG00000251022.6,154,162,177,211
ENSG00000168152.12,29,35,43,55
ENSG00000189308.10,208,229,192,216
ENSG00000199530.1,0,0,1,1
ENSG00000251874.1,0,0,0,0
ENSG00000138663.8,212,217,251,290
ENSG00000145287.10,5239,6395,4097,3914
ENSG00000250057.1,4,2,13,1
ENSG00000250677.1,0,1,0,0
ENSG00000248401.2,1,0,0,0
ENSG00000173085.14,165,161,200,257
ENSG00000173083.14,143,161,109,93
ENSG00000274154.1,0,0,0,0
ENSG00000251647.2,0,0,0,0
ENSG00000163312.10,143,107,117,147
ENSG00000163319.10,167,148,164,187
ENSG00000163322.13,117,93,150,186
ENSG00000213608.5,0,0,0,0
ENSG00000239525.1,0,0,0,0
ENSG00000138678.10,405,456,250,224
ENSG00000201633.1,0,0,0,0
ENSG00000249171.1,0,0,0,0
ENSG00000250546.5,0,0,0,0
ENSG00000200108.1,0,0,0,0
ENSG00000214980.4,1,0,0,0
ENSG00000248749.1,0,0,0,0
ENSG00000163623.9,0,0,0,0
ENSG00000258013.2,2,0,0,1
ENSG00000163624.5,1290,1305,1155,1295
ENSG00000163625.15,1662,1653,1763,2115
ENSG00000239466.3,4,1,3,3
ENSG00000251260.1,0,0,0,0
ENSG00000252062.1,1,0,3,2
ENSG00000180769.8,9,4,9,6
ENSG00000201901.1,31,53,26,25
ENSG00000248725.3,0,0,0,0
ENSG00000138639.17,5,3,12,9
ENSG00000266421.3,0,0,0,0
ENSG00000109339.21,0,0,0,0
ENSG00000250062.5,0,0,0,0
ENSG00000252757.1,0,0,0,0
ENSG00000266515.1,0,0,0,0
ENSG00000163629.12,86,85,137,155
ENSG00000145283.7,0,0,1,0
ENSG00000243312.3,0,0,0,0
ENSG00000163633.11,2,1,0,3
ENSG00000250202.2,0,0,0,0
ENSG00000285458.1,5,5,0,8
ENSG00000251411.1,9,4,16,5
ENSG00000284968.1,38,35,35,34
ENSG00000172493.20,2385,2341,2207,2585
ENSG00000235043.3,9,8,11,18
ENSG00000145332.13,242,261,245,387
ENSG00000248196.1,2,0,1,0
ENSG00000248180.1,0,2,0,1
ENSG00000250572.1,0,0,0,0
ENSG00000263981.1,0,0,0,0
ENSG00000170509.11,10,10,6,10
ENSG00000255723.1,10,3,4,2
ENSG00000198189.10,1294,1480,1061,1238
ENSG00000240966.3,8,12,5,9
ENSG00000249262.2,0,0,0,0
ENSG00000170502.12,468,424,428,482
ENSG00000272856.1,0,0,0,0
ENSG00000152583.12,0,0,0,0
ENSG00000249001.5,0,0,0,0
ENSG00000152591.13,0,0,0,0
ENSG00000152592.13,0,0,0,0
ENSG00000200024.1,0,0,0,0
ENSG00000249973.2,0,0,0,0
ENSG00000029559.6,0,0,0,0
ENSG00000152595.16,0,0,0,0
ENSG00000183199.6,12,12,12,10
ENSG00000118785.13,0,0,0,0
ENSG00000202000.1,0,0,0,0
ENSG00000118762.7,164,140,217,268
ENSG00000118777.11,2757,3565,1018,536
ENSG00000241853.1,0,0,0,0
ENSG00000201707.1,0,0,0,0
ENSG00000221440.1,0,0,0,0
ENSG00000251285.2,0,0,0,0
ENSG00000199326.1,0,0,0,0
ENSG00000163644.14,16,15,26,26
ENSG00000200469.1,0,0,0,0
ENSG00000246375.2,0,0,1,0
ENSG00000207480.1,0,0,0,0
ENSG00000138642.14,194,189,190,199
ENSG00000138646.8,4,11,10,11
ENSG00000249934.2,0,0,0,0
ENSG00000145337.4,277,220,284,332
ENSG00000255072.1,0,0,0,0
ENSG00000285385.1,0,0,0,0
ENSG00000285122.1,0,0,0,0
ENSG00000249755.2,2,0,0,0
ENSG00000252322.1,0,0,0,0
ENSG00000138641.16,415,488,331,357
ENSG00000207524.1,3,2,3,2
ENSG00000177432.7,15,5,22,21
ENSG00000248019.2,47,32,34,48
ENSG00000278151.1,0,0,0,0
ENSG00000276003.1,0,0,0,0
ENSG00000138640.14,1880,1994,1558,1956
ENSG00000180346.3,207,170,184,242
ENSG00000270720.1,2,3,3,2
ENSG00000212226.1,0,0,0,0
ENSG00000185477.4,49,59,112,196
ENSG00000251095.6,2,4,0,1
ENSG00000145335.15,1,2,1,15
ENSG00000274238.1,1,2,0,0
ENSG00000277695.1,0,0,0,0
ENSG00000276542.1,0,0,0,0
ENSG00000247775.2,0,0,0,1
ENSG00000138722.9,0,0,0,0
ENSG00000184305.15,255,358,327,380
ENSG00000252087.1,1,2,2,2
ENSG00000251401.2,2,1,0,0
ENSG00000187653.11,40,54,22,28
ENSG00000248984.1,0,0,0,0
ENSG00000249049.1,0,0,0,0
ENSG00000279013.1,1,2,7,5
ENSG00000249891.2,0,0,0,0
ENSG00000249052.1,0,0,0,0
ENSG00000248817.1,0,0,0,0
ENSG00000280056.1,0,0,0,0
ENSG00000249152.1,0,0,0,0
ENSG00000248511.1,0,0,0,0
ENSG00000152208.12,0,0,0,0
ENSG00000251449.2,0,0,0,0
ENSG00000249239.2,0,0,0,0
ENSG00000248627.1,0,0,0,0
ENSG00000248750.2,0,0,0,0
ENSG00000250908.1,0,0,0,0
ENSG00000252342.1,0,0,0,0
ENSG00000172238.4,0,1,0,2
ENSG00000246541.2,0,0,0,0
ENSG00000250897.2,0,0,0,0
ENSG00000163104.17,442,349,541,631
ENSG00000163106.10,0,0,0,0
ENSG00000241103.1,0,0,0,0
ENSG00000163110.14,4584,4864,3482,3222
ENSG00000249951.1,3,0,3,1
ENSG00000249599.1,0,0,0,0
ENSG00000138696.10,0,0,0,0
ENSG00000182168.14,0,0,0,0
ENSG00000271474.1,0,0,0,0
ENSG00000242936.1,0,0,0,0
ENSG00000163114.5,0,0,0,0
ENSG00000200622.1,0,0,0,0
ENSG00000201744.1,0,0,0,0
ENSG00000250655.1,0,0,0,0
ENSG00000248510.2,0,0,0,0
ENSG00000201640.2,0,0,0,0
ENSG00000236764.4,0,0,0,0
ENSG00000253170.1,0,0,0,0
ENSG00000163116.9,6,4,3,6
ENSG00000254044.5,0,0,0,2
ENSG00000251620.1,0,0,0,0
ENSG00000250293.1,1,2,2,0
ENSG00000242697.2,2,1,4,5
ENSG00000214904.5,0,0,0,0
ENSG00000214559.3,0,0,1,1
ENSG00000138698.14,384,270,412,505
ENSG00000242318.1,0,0,5,6
ENSG00000168785.7,450,476,437,559
ENSG00000251523.1,0,0,0,0
ENSG00000260641.1,24,21,16,21
ENSG00000249764.1,0,0,0,0
ENSG00000227118.3,3,0,2,0
ENSG00000151247.12,857,857,817,946
ENSG00000249055.1,3,1,5,2
ENSG00000263923.1,3,1,1,0
ENSG00000214886.4,0,0,0,0
ENSG00000252548.1,0,0,0,0
ENSG00000251437.1,0,0,0,0
ENSG00000164024.11,940,1047,876,1058
ENSG00000265213.1,1,1,0,4
ENSG00000250496.2,0,0,0,0
ENSG00000272777.1,5,6,11,7
ENSG00000197894.10,1187,1206,1406,1867
ENSG00000246090.6,21,13,27,33
ENSG00000198099.8,11,15,14,11
ENSG00000249065.2,0,0,0,0
ENSG00000172955.17,44,48,47,39
ENSG00000187758.7,0,0,0,0
ENSG00000196616.13,0,0,0,0
ENSG00000248144.5,48,16,29,25
ENSG00000196344.11,0,0,0,0
ENSG00000250300.1,0,0,0,0
ENSG00000138813.9,0,0,0,0
ENSG00000145331.13,155,212,125,159
ENSG00000138823.13,135,112,84,61
ENSG00000248676.1,0,0,0,0
ENSG00000248713.1,2,7,1,0
ENSG00000070190.12,387,426,345,309
ENSG00000279913.1,12,8,8,7
ENSG00000109270.12,554,523,515,535
ENSG00000164031.16,934,989,982,1015
ENSG00000279098.1,2,7,7,1
ENSG00000164032.11,684,659,738,1016
ENSG00000245322.6,1,5,2,1
ENSG00000250403.1,0,0,0,0
ENSG00000248820.2,0,0,0,0
ENSG00000145358.6,1,0,1,2
ENSG00000249710.1,0,0,0,0
ENSG00000164035.9,0,0,0,0
ENSG00000250223.1,0,0,0,0
ENSG00000251219.1,0,0,0,0
ENSG00000251636.1,0,0,0,0
ENSG00000138814.16,1891,1839,1951,2302
ENSG00000273882.1,8,12,8,3
ENSG00000221265.1,3,2,5,6
ENSG00000254531.1,68,54,58,103
ENSG00000153064.11,173,172,183,208
ENSG00000199529.1,0,0,0,0
ENSG00000251149.1,4,3,0,2
ENSG00000251309.1,0,0,0,0
ENSG00000138821.12,191,110,183,264
ENSG00000241144.3,0,0,0,0
ENSG00000248161.5,0,0,0,3
ENSG00000251572.2,0,0,0,0
ENSG00000260651.1,1,2,0,2
ENSG00000109320.11,674,649,725,790
ENSG00000109323.9,536,550,743,942
ENSG00000241981.2,0,0,0,0
ENSG00000230069.3,5,6,5,6
ENSG00000248971.2,31,19,34,46
ENSG00000224207.3,0,0,0,0
ENSG00000251288.2,0,0,0,0
ENSG00000109332.19,3163,3018,2954,3363
ENSG00000246560.2,24,12,14,20
ENSG00000252739.1,0,0,0,0
ENSG00000145354.11,353,296,343,426
ENSG00000164037.16,1,3,1,3
ENSG00000250651.1,1,0,0,0
ENSG00000249283.3,0,0,0,0
ENSG00000164038.14,120,107,171,225
ENSG00000164039.14,157,179,206,231
ENSG00000138778.11,130,100,165,216
ENSG00000248740.5,0,0,0,0
ENSG00000251577.5,0,0,0,0
ENSG00000250920.1,0,0,0,0
ENSG00000251571.1,0,0,0,1
ENSG00000169836.4,0,0,0,0
ENSG00000252460.1,0,0,0,0
ENSG00000249614.1,0,0,0,0
ENSG00000251170.5,0,0,0,0
ENSG00000168772.10,2,8,12,7
ENSG00000245384.1,0,0,0,0
ENSG00000250670.1,0,0,0,0
ENSG00000248242.1,0,0,0,0
ENSG00000244470.2,0,0,0,0
ENSG00000248373.5,0,0,0,0
ENSG00000251906.2,0,0,0,0
ENSG00000276992.1,0,0,0,0
ENSG00000251473.2,0,0,0,0
ENSG00000252136.1,0,0,0,0
ENSG00000251259.1,0,0,1,1
ENSG00000168769.13,1507,1535,1301,1448
ENSG00000251586.1,0,0,2,0
ENSG00000243383.3,0,2,0,0
ENSG00000138777.19,874,772,938,1143
ENSG00000200917.1,0,0,0,0
ENSG00000249264.1,22,10,27,31
ENSG00000216425.4,0,3,1,6
ENSG00000250922.1,0,0,0,0
ENSG00000250522.1,1,4,6,6
ENSG00000236699.8,189,154,263,386
ENSG00000249885.1,7,4,6,16
ENSG00000248778.1,0,1,3,1
ENSG00000138785.14,257,272,326,334
ENSG00000138780.14,342,279,411,449
ENSG00000251175.5,4,6,4,1
ENSG00000168743.12,1832,2187,1878,2187
ENSG00000250740.1,2,3,0,4
ENSG00000249635.1,2,1,4,7
ENSG00000145348.16,481,443,545,688
ENSG00000164022.16,430,395,521,583
ENSG00000250298.4,0,0,0,0
ENSG00000249613.1,0,0,0,0
ENSG00000248915.2,0,0,0,0
ENSG00000155011.8,0,0,0,0
ENSG00000213522.4,0,0,0,0
ENSG00000251081.1,0,0,0,0
ENSG00000252470.1,0,0,0,0
ENSG00000138801.8,639,557,700,936
ENSG00000164023.14,1226,1214,1080,1168
ENSG00000245293.2,7,5,3,3
ENSG00000222691.1,0,0,0,0
ENSG00000155016.17,188,175,183,203
ENSG00000249604.1,7,8,9,5
ENSG00000138796.16,1000,991,1017,1257
ENSG00000138795.9,2,2,1,1
ENSG00000232021.6,0,0,0,0
ENSG00000239939.1,0,0,0,0
ENSG00000278589.1,0,0,0,0
ENSG00000250485.1,0,0,0,0
ENSG00000234492.4,1,0,3,8
ENSG00000109475.16,1771,1581,2325,3136
ENSG00000198856.12,464,432,455,600
ENSG00000206601.1,2,2,1,1
ENSG00000164089.8,1,0,1,1
ENSG00000249257.1,0,0,0,0
ENSG00000250185.2,0,0,0,0
ENSG00000188517.15,0,0,1,3
ENSG00000246774.1,0,0,0,0
ENSG00000249465.1,1,0,0,0
ENSG00000247950.6,5,15,14,20
ENSG00000138802.11,1196,1178,1230,1436
ENSG00000243227.3,0,0,0,0
ENSG00000207988.1,3,2,0,2
ENSG00000225094.3,0,0,0,0
ENSG00000249965.2,0,2,2,2
ENSG00000005059.15,21,23,14,29
ENSG00000248785.1,6,3,2,0
ENSG00000138794.9,390,403,401,501
ENSG00000273447.1,0,0,1,0
ENSG00000123739.10,205,197,267,384
ENSG00000285330.1,0,0,0,0
ENSG00000205403.13,0,0,2,4
ENSG00000272795.1,0,0,0,0
ENSG00000109534.16,77,69,98,131
ENSG00000180245.4,1,4,2,9
ENSG00000183423.11,3,1,0,2
ENSG00000249681.2,0,0,1,0
ENSG00000138798.11,19,9,13,17
ENSG00000207260.1,0,0,0,0
ENSG00000170522.9,569,701,713,950
ENSG00000263940.2,0,0,0,0
ENSG00000248200.2,0,0,0,0
ENSG00000166530.8,0,0,0,0
ENSG00000250594.2,0,0,0,0
ENSG00000212160.1,0,0,0,0
ENSG00000250304.2,0,0,0,0
ENSG00000138792.9,4,0,0,1
ENSG00000251464.2,0,0,1,0
ENSG00000251046.2,0,0,0,0
ENSG00000199894.1,0,0,0,0
ENSG00000250511.1,0,0,2,0
ENSG00000250103.2,0,0,0,0
ENSG00000164093.16,2,7,0,0
ENSG00000249519.1,0,0,0,0
ENSG00000215961.1,0,0,0,0
ENSG00000251483.2,0,0,0,0
ENSG00000251312.2,0,0,0,0
ENSG00000200963.1,0,0,0,0
ENSG00000241722.2,0,0,0,0
ENSG00000248656.1,0,0,0,0
ENSG00000250855.1,0,0,0,0
ENSG00000248432.1,1,1,1,0
ENSG00000249815.1,1,1,1,0
